         y                       y+                           produc                    t-diff                  v-diff              p-strain                     p-diff                  dissip                     bal       
    1.527508766295448e-01    1.528290280168228e+02    2.770587818646767e-02    7.148513733631700e-05    2.454435034808535e-05   -1.746978472569349e-02    0.000000000000000e+00    1.035798259707872e-02   -2.585964862014158e-05
    1.560708989952853e-01    1.561507489937883e+02    2.712266263258970e-02    3.048328625922781e-05    2.328760482386549e-05   -1.708991577399930e-02    0.000000000000000e+00    1.009198691315878e-02   -5.469163485285339e-06
    1.594235817649364e-01    1.595051470845907e+02    2.655136127308830e-02    1.193275477363048e-06    2.465962295851051e-05   -1.672247100723733e-02    0.000000000000000e+00    9.836716371291366e-03    1.802679299547395e-05
    1.628087951882938e-01    1.628920924726419e+02    2.599202127538068e-02   -2.102442934872381e-05    2.364244203602544e-05   -1.636668323518813e-02    0.000000000000000e+00    9.590338929541472e-03    3.761712333838832e-05
    1.662264082562032e-01    1.663114540817598e+02    2.544650231053849e-02   -4.919696813849345e-05    2.124812261889893e-05   -1.602088027435207e-02    0.000000000000000e+00    9.352771192633594e-03    4.490199803323068e-05
    1.696762887056308e-01    1.697630995812416e+02    2.491471895553667e-02   -9.223156222082611e-05    1.626929318985098e-05   -1.568495511302776e-02    0.000000000000000e+00    9.123237242969911e-03    3.056433050801707e-05
    1.731583030247817e-01    1.732468953909841e+02    2.439797000085718e-02   -1.397873270491360e-04    1.188652077986939e-05   -1.535974060351047e-02    0.000000000000000e+00    8.902334364329459e-03    7.994226747977048e-06
    1.766723164582674e-01    1.767627066866542e+02    2.389602023170991e-02   -1.798334671526597e-04    7.775707619432062e-06   -1.504504034315711e-02    0.000000000000000e+00    8.689122583573350e-03   -1.020045455377497e-05
    1.802181930123201e-01    1.803103974049064e+02    2.340884240699086e-02   -2.050657148953836e-04    5.354903251109486e-06   -1.474034763660798e-02    0.000000000000000e+00    8.483330658525041e-03   -1.454669978643089e-05
    1.837957954600563e-01    1.838898302486481e+02    2.293703802651337e-02   -2.197030508284392e-04    5.853823531770329e-06   -1.444567136170385e-02    0.000000000000000e+00    8.285621452382128e-03   -8.104014869279516e-06
    1.874049853467872e-01    1.875008666923534e+02    2.248098846380609e-02   -2.303895407602085e-04    4.651366787055689e-06   -1.416107983577393e-02    0.000000000000000e+00    8.094816764061987e-03   -6.463100029763941e-07
    1.910456229953772e-01    1.911433669874244e+02    2.204160668413769e-02   -2.456589941970968e-04    4.398344458096076e-06   -1.388581424337425e-02    0.000000000000000e+00    7.911253771433601e-03    3.278019590840023e-06
    1.947175675116495e-01    1.948171901675989e+02    2.161698414114760e-02   -2.592395796829924e-04    3.863912773716971e-06   -1.361846947078262e-02    0.000000000000000e+00    7.734913294215217e-03    8.225709240492450e-06
    1.984206767898382e-01    1.985221940544060e+02    2.120288436968365e-02   -2.609615506527374e-04    2.167462873762107e-06   -1.335861234033720e-02    0.000000000000000e+00    7.564357648888608e-03    2.112029267887193e-05
    2.021548075180888e-01    2.022582352626691e+02    2.079639325726711e-02   -2.652257517568727e-04    4.419922536342385e-06   -1.310578554403299e-02    0.000000000000000e+00    7.399047707744309e-03    3.075417626927871e-05
    2.059198151840036e-01    2.060251692060541e+02    2.039729681284478e-02   -2.744388304356202e-04    6.194866837715869e-06   -1.285928774119624e-02    0.000000000000000e+00    7.238529878351938e-03    3.123522969869248e-05
    2.097155540802345e-01    2.098228501026651e+02    2.000532417496894e-02   -2.822770503413067e-04    5.937700717169528e-06   -1.261818269752124e-02    0.000000000000000e+00    7.082751667899029e-03    2.805045992452723e-05
    2.135418773101226e-01    2.136511309806872e+02    1.961707405006943e-02   -2.854756355758018e-04    4.219237035585257e-06   -1.238217672866993e-02    0.000000000000000e+00    6.931301759259025e-03    2.233916360026410e-05
    2.173986367933823e-01    2.175098636840728e+02    1.923056788789964e-02   -2.762801136856741e-04    3.300921712415961e-06   -1.215217785601803e-02    0.000000000000000e+00    6.784311030438699e-03    2.109980946965202e-05
    2.212856832718328e-01    2.213988988782768e+02    1.884921917885940e-02   -2.633287653569963e-04    4.484114981786812e-06   -1.192723032280781e-02    0.000000000000000e+00    6.641579077538625e-03    2.156512813775331e-05
    2.252028663151737e-01    2.253180860560345e+02    1.847560554975535e-02   -2.571161223696520e-04    4.437869112793292e-06   -1.170469050230412e-02    0.000000000000000e+00    6.503061121063128e-03    1.517567313123660e-05
    2.291500343268075e-01    2.292672735431877e+02    1.810968353792828e-02   -2.503850734342873e-04    1.887993909163662e-06   -1.148446074860060e-02    0.000000000000000e+00    6.368074177321693e-03    8.651532480865101e-06
