            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          32.064         16775.8        -10581.4     -3.3332e-17         348.556        0.881884        0.177625          118789          203864        -69.8091       0.0468455         1.83017
          32.067         16791.7        -10630.8    -3.34991e-17         348.556        0.597496        0.199724          119153          204030        -69.5841       0.0419829         1.82933
           32.07         16807.7        -10675.3    -3.36702e-17         348.557        0.315561        0.221533          119464          204196        -69.3429       0.0368695          1.8285
          32.073           16824        -10714.7    -3.38471e-17         348.559         0.03623        0.242978          119719          204366        -69.0843        0.032539         1.82767
          32.076         16840.4          -10749    -3.40284e-17         348.561       -0.240352        0.263988          119920          204538         -68.809       0.0260257         1.82683
          32.079           16857        -10778.3     -3.4216e-17         348.563       -0.514049        0.284502          120067          204710        -68.5167       0.0324963         1.82638
          32.082         16873.6        -10802.6    -3.44052e-17         348.566        -0.78475         0.30447          120161          204883        -68.2081       0.0364489         1.82666
          32.085         16890.3        -10821.9    -3.46011e-17          348.57        -1.05234        0.323849          120201          205059         -67.883       0.0307482         1.82692
          32.088         16907.1        -10836.2    -3.47996e-17         348.574        -1.31675        0.342607          120187          205235        -67.5414       0.0419559         1.82718
          32.091         16923.6        -10845.7    -3.50029e-17         348.578        -1.57793        0.360724          120124          205409        -67.1845       0.0360756         1.82743
          32.094         16940.3        -10850.2    -3.52104e-17         348.583        -1.83583        0.378205          120007          205585        -66.8118       0.0369472         1.82768
          32.097         16956.6        -10849.7    -3.54215e-17         348.587        -2.09043        0.395076          119838          205759        -66.4235       0.0321173         1.82792
            32.1         16972.8        -10844.5    -3.56362e-17         348.592        -2.34174        0.411393          119619          205931        -66.0208       0.0201209         1.82816
          32.103         16988.7        -10834.5    -3.58548e-17         348.597        -2.58974        0.427236          119349          206101        -65.6038        0.020385         1.82838
          32.106         17004.2        -10819.7    -3.60764e-17         348.602        -2.83447        0.442711          119029          206267        -65.1733        0.015591         1.82861
          32.109         17019.4        -10800.2    -3.63017e-17         348.606        -3.07598        0.457933          118659          206429        -64.7294       0.0134539         1.82882
          32.112         17034.1          -10776    -3.65292e-17         348.611        -3.31432        0.473022          118241          206586        -64.2733       0.0115803         1.82923
          32.115         17048.2        -10747.1      -3.676e-17         348.616        -3.54956        0.488096          117774          206736        -63.8055       0.0095571         1.83006
          32.118         17061.8        -10713.6    -3.69933e-17          348.62        -3.78179        0.503254          117257          206882        -63.3265      0.00953524         1.83086
          32.121         17074.8        -10675.6    -3.72293e-17         348.624         -4.0111        0.518567          116695          207019        -62.8379      0.00951676         1.83164
          32.124         17086.9          -10633    -3.74659e-17         348.628        -4.23757        0.534079          116084          207148        -62.3394      0.00964587         1.83239
          32.127         17098.5        -10586.4    -3.77048e-17         348.631        -4.46127          0.5498          115432          207268        -61.8342      0.00973821         1.83311
           32.13           17109        -10535.1    -3.79433e-17         348.634        -4.68229        0.565702          114730          207377        -61.3198       0.0107051          1.8338
          32.133         17118.9        -10479.5    -3.81818e-17         348.637        -4.90067        0.581717          113985          207478        -60.7991      0.00999616         1.83447
          32.136         17127.8        -10419.8    -3.84218e-17         348.639        -5.11642        0.597742          113196          207566        -60.2721       0.0101503         1.83514
          32.139         17135.6        -10355.9    -3.86598e-17         348.641        -5.32954        0.613644          112364          207642        -59.7397       0.0107462         1.83583
          32.142         17142.4        -10287.8     -3.8898e-17         348.642        -5.53997        0.629266          111488          207706        -59.2011      0.00991074         1.83649
          32.145           17148        -10215.7    -3.91335e-17         348.643        -5.74761        0.644433          110571          207754        -58.6581       0.0107803         1.83713
          32.148           17153        -10139.8    -3.93693e-17         348.644        -5.95233         0.65895          109616          207794        -58.1105       0.0122251         1.83774
          32.151         17156.5        -10059.9    -3.96029e-17         348.645        -6.15398        0.672611          108617          207815        -57.5572       0.0142981         1.83832
          32.154         17158.9        -9976.19    -3.98346e-17         348.645        -6.35242        0.685204          107581          207823        -56.9996       0.0157393         1.83888
          32.157         17160.1        -9888.76    -4.00652e-17         348.644         -6.5475        0.696525          106506          207816        -56.4373       0.0168323         1.83942
           32.16         17159.9        -9797.64    -4.02932e-17         348.643        -6.73908        0.706386          105394          207791        -55.8704       0.0148202         1.83992
          32.163         17158.6        -9702.78      -4.052e-17         348.642        -6.92707        0.714626          104243          207751        -55.2987        0.016023         1.84041
          32.166           17156        -9604.41    -4.07452e-17          348.64        -7.11138        0.721123          103057          207696         -54.723       0.0259411          1.8409
          32.169         17152.3        -9502.36    -4.09681e-17         348.638        -7.29195        0.725795          101834          207625        -54.1427       0.0321204         1.84138
          32.172         17147.2        -9397.12     -4.1192e-17         348.634        -7.46872        0.728602          100579          207538        -53.5599        0.035837         1.84184
          32.175         17140.8        -9288.22    -4.14117e-17          348.63        -7.64166        0.729538         99286.9          207434        -52.9724       0.0316202         1.84227
          32.178         17133.2        -9176.17    -4.16307e-17         348.625        -7.81073         0.72863         97963.7          207315         -52.383       0.0322487         1.84267
          32.181         17124.4        -9060.72     -4.1849e-17         348.619        -7.97588        0.725935         96606.5          207180        -51.7903       0.0248473         1.84306
          32.184         17114.3        -8942.09    -4.20659e-17         348.612        -8.13707        0.721536         95217.7          207028        -51.1954       0.0326154         1.84342
          32.187           17103        -8820.26    -4.22814e-17         348.605        -8.29424        0.715542         93796.8          206862        -50.5979        0.028985         1.84376
           32.19         17090.5         -8695.3    -4.24965e-17         348.596        -8.44737        0.708079         92345.2          206682        -49.9984       0.0255298         1.84408
          32.193         17076.9         -8567.4      -4.271e-17         348.586        -8.59644        0.699288         90864.7          206487        -49.3976       0.0229414         1.84437
          32.196         17062.1        -8436.53     -4.2923e-17         348.575        -8.74142        0.689319         89354.8          206277        -48.7953       0.0223962         1.84464
          32.199         17046.2        -8302.82    -4.31351e-17         348.563        -8.88232        0.678329         87817.6          206054        -48.1921       0.0241196         1.84489
          32.202           17029        -8166.37     -4.3348e-17          348.55        -9.01908        0.666474         86253.5          205815        -47.5883       0.0269497         1.84512
          32.205           17011        -8026.99    -4.35594e-17         348.537         -9.1517        0.653911         84660.2          205566         -46.983       0.0299851         1.84532
          32.208         16991.9        -7885.05     -4.3771e-17         348.522        -9.28015        0.640798         83042.7          205304        -46.3777       0.0328915          1.8455
          32.211         16971.8        -7740.56    -4.39832e-17         348.506        -9.40441        0.627288         81400.2          205029        -45.7726       0.0355765         1.84567
          32.214         16950.7        -7593.59    -4.41943e-17          348.49        -9.52446        0.613529         79733.7          204743        -45.1675        0.036753         1.84581
          32.217         16928.5        -7444.06    -4.44051e-17         348.472        -9.64027        0.599663         78042.3          204445        -44.5622       0.0363321         1.84593
           32.22         16905.7        -7292.31    -4.46165e-17         348.453        -9.75183        0.585822         76329.7          204140         -43.958       0.0371297         1.84603
          32.223         16881.8        -7138.36    -4.48266e-17         348.434        -9.85908        0.572131         74596.1          203822        -43.3547       0.0392333          1.8461
          32.226         16856.9        -6981.91    -4.50366e-17         348.413          -9.962        0.558708         72837.3          203494        -42.7509       0.0423715         1.84616
          32.229         16831.3        -6823.58    -4.52448e-17         348.392        -10.0606        0.545659         71061.6          203158        -42.1492       0.0408402          1.8462
          32.232         16804.9        -6663.15    -4.54522e-17         348.369        -10.1547        0.533081         69265.4          202814        -41.5483       0.0445361         1.84622
          32.235         16777.6        -6500.75    -4.56588e-17         348.346        -10.2444        0.521059         67450.6          202460        -40.9485       0.0469302         1.84622
          32.238         16749.6        -6336.38    -4.58637e-17         348.322        -10.3295        0.509666         65616.7          202101        -40.3497       0.0429861          1.8462
          32.241         16720.7        -6170.21     -4.6068e-17         348.297        -10.4101         0.49896           63766          201733        -39.7523       0.0445668         1.84616
          32.244         16691.1        -6002.14    -4.62703e-17         348.271         -10.486        0.488986         61897.1          201358        -39.1555       0.0502274          1.8461
          32.247         16660.8        -5832.31    -4.64718e-17         348.244        -10.5572        0.479784         60011.3          200977        -38.5597       0.0511002         1.84602
           32.25         16629.7        -5660.77    -4.66716e-17         348.216        -10.6235        0.471379         58109.7          200589        -37.9649       0.0511685         1.84592
          32.253         16597.7        -5487.69    -4.68714e-17         348.188        -10.6851        0.463785         56193.8          200195        -37.3715       0.0511034          1.8458
          32.256         16565.1        -5312.96    -4.70689e-17         348.158        -10.7417        0.457012         54262.4          199795        -36.7788       0.0509397         1.84568
          32.259         16531.9        -5136.62    -4.72655e-17         348.128        -10.7933         0.45106         52315.9          199391        -36.1868       0.0451783         1.84557
          32.262         16497.8        -4958.67    -4.74608e-17         348.097        -10.8399        0.445929           50354          198980        -35.5952       0.0419948         1.84545
          32.265         16463.2        -4779.15    -4.76553e-17         348.065        -10.8815        0.441609         48377.6          198566        -35.0043       0.0466252          1.8453
          32.268         16427.8        -4598.22    -4.78492e-17         348.032        -10.9179        0.438084           46388          198146        -34.4143       0.0504489         1.84513
          32.271         16391.8        -4415.81    -4.80412e-17         347.999        -10.9492        0.435335         44384.9          197723         -33.825       0.0507544         1.84495
          32.274         16355.1        -4231.87    -4.82334e-17         347.964        -10.9754        0.433341         42367.3          197295         -33.236       0.0513897         1.84474
          32.277         16317.8        -4046.53     -4.8424e-17         347.929        -10.9965         0.43208         40336.7          196864        -32.6479       0.0524018         1.84452
           32.28           16280         -3859.7    -4.86155e-17         347.894        -11.0124         0.43153         38292.2          196431        -32.0601       0.0538008         1.84428
          32.283         16241.6        -3671.38    -4.88051e-17         347.857        -11.0232        0.431666         36233.6          195993        -31.4726       0.0555608         1.84402
          32.286         16202.7        -3481.79    -4.89962e-17          347.82        -11.0288        0.432461         34163.7          195554        -30.8863       0.0576312         1.84375
          32.289         16163.2        -3290.65    -4.91872e-17         347.782        -11.0292        0.433888           32079          195110        -30.2998       0.0578031         1.84345
          32.292         16123.4         -3098.2    -4.93797e-17         347.743        -11.0245        0.435918         29982.2          194667        -29.7141       0.0566398         1.84314
          32.295         16083.1        -2904.32     -4.9573e-17         347.704        -11.0147        0.438521         27871.9          194223        -29.1287       0.0598718         1.84281
          32.298         16042.4        -2708.88    -4.97669e-17         347.664        -10.9997         0.44167         25746.7          193776        -28.5431       0.0644948         1.84247
          32.301         16001.6        -2512.24    -4.99631e-17         347.623        -10.9796        0.445336           23611          193332        -27.9588       0.0627417          1.8421
          32.304         15960.1        -2313.99    -5.01608e-17         347.582        -10.9544        0.449494         21459.7          192883        -27.3738       0.0568156         1.84172
          32.307         15918.7        -2114.54    -5.03601e-17          347.54        -10.9242        0.454113         19298.2          192439        -26.7904       0.0514273         1.84132
           32.31         15877.2        -1913.57    -5.05616e-17         347.497        -10.8889        0.459167         17122.6          191996        -26.2069       0.0513192         1.84091
          32.313         15835.5        -1711.22     -5.0767e-17         347.454        -10.8485        0.464627         14934.4          191554         -25.624       0.0546841         1.84047
          32.316         15793.7        -1507.38    -5.09722e-17          347.41        -10.8031        0.470469         12732.2          191115        -25.0412       0.0523952         1.84002
          32.319           15752        -1302.23    -5.11811e-17         347.365        -10.7528        0.476664         10518.4          190679        -24.4594       0.0500129         1.83955
          32.322         15710.4        -1095.91    -5.13932e-17          347.32        -10.6975        0.483187         8294.83          190248         -23.879       0.0475747         1.83907
          32.325         15668.9        -888.064    -5.16073e-17         347.274        -10.6373        0.490015         6056.82          189820        -23.2984       0.0451587         1.83856
          32.328         15627.7        -678.975    -5.18253e-17         347.228        -10.5722        0.497126         3808.31          189398        -22.7189       0.0429089         1.83804
          32.331         15586.7        -468.573    -5.20449e-17         347.181        -10.5023        0.504498         1548.55          188983        -22.1402       0.0410664          1.8375
          32.334         15546.1        -256.933     -5.2268e-17         347.134        -10.4276        0.512108        -721.753          188573        -21.5625       0.0399696         1.83695
          32.337           15506        -44.1055    -5.24941e-17         347.086        -10.3482        0.519928        -3002.15          188173         -20.986       0.0399516         1.83638
           32.34         15466.4         169.748    -5.27229e-17         347.038         -10.264        0.527932        -5290.37          187780        -20.4115       0.0411461         1.83579
          32.343         15427.2          384.89    -5.29533e-17         346.989        -10.1751        0.536087        -7589.19          187394        -19.8376       0.0433954         1.83518
          32.346           15389         601.043    -5.31867e-17         346.939        -10.0816         0.54436        -9895.86          187021        -19.2658       0.0301321         1.83456
          32.349         15351.4         818.224    -5.34232e-17         346.889        -9.98352        0.552719        -12210.5          186657        -18.6958       0.0498015         1.83391
