            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          11.061         17933.6         13126.5    -3.33393e-17         313.405         6.38495      -0.0424813         -157795          218963         2.44061       0.0245552          1.7873
          11.064         17936.9         13037.9    -3.16163e-17         313.457          6.6464        -0.04232         -156755          219008         1.86899       0.0135232         1.78789
          11.067           17939         12944.1    -2.97056e-17         313.509         6.90479      -0.0421511         -155652          219039         1.29068       0.0213371         1.78844
           11.07         17939.7           12845    -2.75101e-17         313.561         7.15996      -0.0419749         -154486          219052        0.705909        0.019206         1.78897
          11.073         17939.1         12740.7    -2.50646e-17         313.612         7.41176      -0.0417923         -153256          219051        0.114852       0.0179438         1.78946
          11.076         17937.4           12631    -2.23366e-17         313.663         7.66002      -0.0416049         -151963          219035       -0.482448       0.0166389         1.78991
          11.079         17934.5         12516.2    -1.91783e-17         313.713          7.9046      -0.0414126         -150607          219005        -1.08551      0.00915987         1.79031
          11.082         17930.5         12396.3    -1.55106e-17         313.762         8.14535      -0.0412153         -149190          218962        -1.69321       0.0164482         1.79066
          11.085         17925.4         12271.5    -1.11108e-17         313.811         8.38211      -0.0410109         -147713          218905        -2.30532         0.01087         1.79097
          11.088         17918.9         12141.6    -5.84109e-18         313.859         8.61473      -0.0407998         -146176          218833        -2.92176       0.0193772         1.79119
          11.091         17911.3         12006.8     5.83574e-19         313.906         8.84304      -0.0405835         -144578          218746         -3.5428        0.010028         1.79132
          11.094         17902.5         11866.8     7.13169e-18         313.952         9.06686      -0.0403623         -142920          218645        -4.16876       0.0104953         1.79156
          11.097         17892.8         11721.8     1.26901e-17         313.997           9.286      -0.0401378         -141201          218532        -4.79955       0.0114459         1.79172
            11.1         17882.2         11572.1     1.73874e-17         314.042         9.50031      -0.0399088         -139424          218408        -5.43423       0.0173294         1.79177
          11.103         17870.5         11417.7     2.10898e-17         314.086         9.70962      -0.0396738         -137590          218273         -6.0733      0.00702829         1.79169
          11.106         17857.7         11258.7     2.39937e-17         314.129         9.91375      -0.0394332         -135701          218124        -6.71702       0.0156759         1.79146
          11.109           17844         11095.2     2.55822e-17         314.172         10.1126      -0.0391886         -133758          217963        -7.36637       0.0122452         1.79106
          11.112         17829.4         10926.9     2.50792e-17         314.215          10.306      -0.0389401         -131758          217792        -8.02324       0.0293258         1.79045
          11.115           17814         10754.2     2.22303e-17         314.259         10.4938      -0.0386892         -129703          217610        -8.68789      0.00820491         1.78962
          11.118           17798           10577     1.85644e-17         314.304         10.6761      -0.0384357         -127594          217421         -9.3621       0.0153471         1.78855
          11.121         17780.9         10395.6     1.54101e-17          314.35         10.8527      -0.0381765         -125434          217220        -10.0462       0.0132838         1.78724
          11.124         17762.9         10209.9     1.28486e-17         314.399         11.0237      -0.0379131         -123223          217008        -10.7417       0.0188169          1.7857
          11.127         17744.2         10019.7     1.06468e-17         314.449          11.189      -0.0376466         -120959          216786        -11.4502        0.013282         1.78413
           11.13         17724.5         9825.25     9.16908e-18         314.501         11.3488      -0.0373768         -118642          216554        -12.1711       0.0168929         1.78374
          11.133         17704.2         9626.63     8.81849e-18         314.556          11.503      -0.0371054         -116274          216313        -12.9037       0.0101668         1.78374
          11.136         17683.3         9424.15     9.89544e-18         314.612         11.6517      -0.0368322         -113860          216066        -13.6456       0.0118455         1.78379
