y	y+	Umean	dUmean/dy	Wmean	Pmean	dissip	produc	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
0.058162519	116.020055	16.77679988	41.37560398	0.004593506	-1.23225878	0.019717683	0.019100368	4.656611091	1.23225878	2.136586044	-0.920846222	0.005292102	-9.26635E-05	4.012727957
0.059557495	118.8026921	16.83393157	40.54141356	0.004614628	-1.231849694	0.019217959	0.018695494	4.643198323	1.231849694	2.125612815	-0.919872793	0.005248243	-0.000103989	4.000330416
0.060968498	121.6173	16.8905625	39.7349736	0.004637821	-1.231329294	0.018736759	0.018303601	4.630147642	1.231329294	2.114770832	-0.918868475	0.005209063	-0.000120603	3.988123884
0.062395504	124.4638305	16.94670335	38.95384402	0.004662707	-1.230707743	0.018273203	0.017923569	4.617428287	1.230707743	2.104062237	-0.917833637	0.005169675	-0.000137356	3.976099133
0.06383849	127.3422353	17.00236228	38.19516112	0.004688646	-1.229994419	0.017826008	0.017554124	4.605014313	1.229994419	2.093489249	-0.916770653	0.005120654	-0.000151234	3.964248991
0.06529743	130.2524652	17.05754466	37.45669324	0.004714966	-1.229198142	0.017394446	0.017194292	4.592863773	1.229198142	2.083046767	-0.915682247	0.00506336	-0.00016172	3.952554341
0.0667723	133.1944707	17.11225525	36.73849357	0.004741228	-1.228326942	0.016978379	0.0168441	4.580928436	1.228326942	2.072717936	-0.914568973	0.005010557	-0.000171132	3.940986657
0.068263074	136.1682016	17.1665012	36.04191591	0.004767212	-1.227387663	0.016577212	0.016504135	4.569164849	1.227387663	2.062492312	-0.913429343	0.004978027	-0.000183003	3.929522412
0.069769727	139.1736072	17.22029138	35.36609361	0.004792828	-1.226385943	0.016190117	0.016174002	4.557535666	1.226385943	2.052368933	-0.912263916	0.00497454	-0.000199757	3.918145271
0.071292233	142.2106363	17.27363364	34.70996018	0.004817706	-1.225326539	0.015816313	0.015853257	4.546014447	1.225326539	2.042346912	-0.91107574	0.004998688	-0.000221376	3.906843949
0.072830567	145.2792372	17.32653606	34.07306875	0.004840964	-1.224213719	0.015455174	0.015541696	4.53457974	1.224213719	2.032425118	-0.90986563	0.005041295	-0.000245885	3.895609289
0.074384701	148.3793576	17.37900613	33.45406353	0.004861693	-1.223051345	0.015105699	0.015238682	4.523210281	1.223051345	2.022604851	-0.908633317	0.00509118	-0.000271143	3.884433238
0.075954611	151.5109446	17.43105045	32.85194789	0.004879319	-1.221842888	0.014767855	0.014943745	4.511879282	1.221842888	2.012883695	-0.907378516	0.005138657	-0.000294505	3.873302933
0.077540268	154.6739448	17.48267451	32.26523216	0.004893515	-1.220591553	0.014441373	0.01465622	4.500562686	1.220591553	2.00327339	-0.906102576	0.005179688	-0.000312712	3.862213815
0.079141647	157.8683044	17.53388264	31.69323472	0.004904223	-1.219300323	0.014126077	0.014375784	4.489242899	1.219300323	1.993797606	-0.904805278	0.005213429	-0.000323652	3.851170414
0.080758719	161.0939689	17.58467964	31.13594244	0.004911575	-1.21797196	0.013821184	0.014102379	4.477919324	1.21797196	1.984469082	-0.90348398	0.005236039	-0.000327889	3.840180183
0.082391456	164.3508833	17.63507019	30.59226981	0.004915874	-1.216608879	0.013526116	0.013835453	4.466591097	1.216608879	1.97528683	-0.902135444	0.005241264	-0.000327566	3.829243403
0.084039833	167.6389922	17.68505751	30.06098174	0.004917729	-1.215212834	0.013240626	0.013574422	4.455251068	1.215212834	1.966240538	-0.900758268	0.005229299	-0.000326101	3.81835222
0.085703819	170.9582395	17.7346448	29.54271327	0.00491775	-1.213785094	0.012964034	0.013319589	4.443899082	1.213785094	1.957317908	-0.899353871	0.005209108	-0.000326784	3.807501042
0.087383387	174.3085686	17.78383762	29.03827557	0.004916323	-1.212326898	0.012695807	0.013071346	4.432526672	1.212326898	1.948515156	-0.897924284	0.005192127	-0.000330076	3.796684363
0.089078508	177.6899225	17.83264254	28.54759781	0.004913892	-1.210839584	0.012435926	0.012829653	4.421111035	1.210839584	1.939829847	-0.896469723	0.005190386	-0.00033418	3.785890233
0.090789154	181.1022434	17.88106697	28.07075578	0.004911118	-1.20932454	0.012184002	0.012594506	4.409625952	1.20932454	1.931247206	-0.894988293	0.005213092	-0.000337579	3.775098849
0.092515294	184.5454733	17.92911817	27.60657959	0.004908684	-1.207783039	0.011939919	0.012365371	4.398061873	1.207783039	1.922741682	-0.893479907	0.005255459	-0.000337292	3.764293297
0.0942569	188.0195535	17.97680081	27.15267727	0.004906747	-1.206216485	0.011703368	0.012141195	4.386426019	1.206216485	1.914306913	-0.891946614	0.005305372	-0.000329568	3.753474709
0.096013943	191.5244247	18.02411618	26.70735854	0.004904943	-1.204626681	0.01147356	0.011921277	4.37472329	1.204626681	1.905948148	-0.890393006	0.005355625	-0.000311453	3.74264906
0.097786391	195.0600273	18.07106511	26.27129459	0.0049029	-1.203015484	0.011250605	0.011705946	4.362950118	1.203015484	1.897655176	-0.888821909	0.005398021	-0.000285332	3.731810389
