y	y+	Umean	dUmean/dy	Wmean	Pmean	
2.58272928E-02	1.33937684E+02	1.71137713E+01	9.42781049E+01	-2.63486713E-03	-1.27869458E+00	
2.62889032E-02	1.36331548E+02	1.71569486E+01	9.28022498E+01	-2.64475580E-03	-1.27878254E+00	
2.67543815E-02	1.38745471E+02	1.71998088E+01	9.13609353E+01	-2.65468335E-03	-1.27883590E+00	
2.72237256E-02	1.41179441E+02	1.72423564E+01	8.99528299E+01	-2.66458128E-03	-1.27885732E+00	
2.76969338E-02	1.43633450E+02	1.72845955E+01	8.85768798E+01	-2.67440992E-03	-1.27884880E+00	
2.81740041E-02	1.46107488E+02	1.73265305E+01	8.72321536E+01	-2.68412431E-03	-1.27881206E+00	
2.86549347E-02	1.48601544E+02	1.73681654E+01	8.59177608E+01	-2.69369206E-03	-1.27874883E+00	
2.91397237E-02	1.51115610E+02	1.74095044E+01	8.46327587E+01	-2.70313455E-03	-1.27866085E+00	
2.96283690E-02	1.53649674E+02	1.74505512E+01	8.33760355E+01	-2.71247131E-03	-1.27854976E+00	
3.01208689E-02	1.56203728E+02	1.74913096E+01	8.21466383E+01	-2.72164448E-03	-1.27841713E+00	
3.06172213E-02	1.58777760E+02	1.75317833E+01	8.09438324E+01	-2.73049528E-03	-1.27826454E+00	
3.11174242E-02	1.61371761E+02	1.75719759E+01	7.97668182E+01	-2.73881085E-03	-1.27809372E+00	
3.16214757E-02	1.63985721E+02	1.76118907E+01	7.86148033E+01	-2.74648619E-03	-1.27790659E+00	
3.21293738E-02	1.66619628E+02	1.76515312E+01	7.74870066E+01	-2.75357270E-03	-1.27770502E+00	
3.26411164E-02	1.69273472E+02	1.76909007E+01	7.63826652E+01	-2.76014374E-03	-1.27749032E+00	
3.31567015E-02	1.71947244E+02	1.77300024E+01	7.53010580E+01	-2.76623135E-03	-1.27726328E+00	
3.36761271E-02	1.74640932E+02	1.77688392E+01	7.42415030E+01	-2.77187465E-03	-1.27702437E+00	
3.41993911E-02	1.77354525E+02	1.78074143E+01	7.32034165E+01	-2.77714289E-03	-1.27677400E+00	
3.47264915E-02	1.80088013E+02	1.78457305E+01	7.21861873E+01	-2.78212380E-03	-1.27651264E+00	
3.52574260E-02	1.82841385E+02	1.78837908E+01	7.11892174E+01	-2.78684369E-03	-1.27624078E+00	
3.57921927E-02	1.85614630E+02	1.79215979E+01	7.02120799E+01	-2.79122679E-03	-1.27595903E+00	
3.63307894E-02	1.88407737E+02	1.79591549E+01	6.92543814E+01	-2.79517758E-03	-1.27566817E+00	
3.68732140E-02	1.91220695E+02	1.79964644E+01	6.83154765E+01	-2.79869040E-03	-1.27536910E+00	
3.74194642E-02	1.94053493E+02	1.80335291E+01	6.73946847E+01	-2.80189163E-03	-1.27506265E+00	
3.79695380E-02	1.96906119E+02	1.80703517E+01	6.64915370E+01	-2.80491937E-03	-1.27474930E+00	
3.85234331E-02	1.99778562E+02	1.81069346E+01	6.56056069E+01	-2.80775183E-03	-1.27442910E+00	
