"GradU:0","GradU:1","GradU:2","GradU:3","GradU:4","GradU:5","GradU:6","GradU:7","GradU:8","Points:0","Points:1","Points:2","Vorticity:0","Vorticity:1","Vorticity:2","density","minimum_distance_to_wall","pressure","pressure_force_:0","pressure_force_:1","pressure_force_:2","specific_dissipation_rate","sst_f_one_blending","tau_wall","turbulent_ke","turbulent_viscosity","velocity_:0","velocity_:1","velocity_:2","viscous_force_:0","viscous_force_:1","viscous_force_:2","yplus"
-6.94205e-10,10.3944,0,2.58913e-09,3.28076e-10,0,8.09025e-10,6.91821e-10,0,4,0.281848,1.5,6.91821e-10,-8.09025e-10,-10.3944,1,0.281949,1.31301e-08,0,0,0,33.1001,1,0,2.26273,0.0675354,17.4857,-2.66111e-10,7.15885e-11,0,0,0,0
-3.7851e-10,9.6627,0,2.74476e-09,1.58767e-10,0,7.52648e-10,5.86794e-10,0,4,0.299017,1.5,5.86794e-10,-7.52648e-10,-9.6627,1,0.299126,1.22397e-08,0,0,0,30.8697,1,0,2.21282,0.0710465,17.6577,-2.61194e-10,8.22019e-11,0,0,0,0
5.03888e-11,8.97587,0,2.88926e-09,-8.23776e-11,0,6.94695e-10,5.33943e-10,0,4,0.316915,1.5,5.33943e-10,-6.94695e-10,-8.97587,1,0.317032,1.1221e-08,0,0,0,28.8096,1,0,2.16091,0.0746876,17.8243,-2.60636e-10,9.21429e-11,0,0,0,0
3.38184e-10,8.34623,0,3.02142e-09,-2.57416e-10,0,6.38106e-10,4.97895e-10,0,4,0.335552,1.5,4.97895e-10,-6.38106e-10,-8.34623,1,0.335678,1.01032e-08,0,0,0,26.9063,1,0,2.10728,0.0783192,17.9854,-2.64288e-10,1.01694e-10,0,0,0,0
4.59641e-10,7.77698,0,3.15446e-09,-3.23205e-10,0,5.87114e-10,4.77363e-10,0,4,0.354938,1.5,4.77363e-10,-5.87114e-10,-7.77698,1,0.355072,8.88508e-09,0,0,0,25.1428,1,0,2.052,0.0816141,18.1414,-2.7047e-10,1.11064e-10,0,0,0,0
5.51541e-10,7.25171,0,3.28773e-09,-3.37576e-10,0,5.4337e-10,4.64647e-10,0,4,0.37508,1.5,4.64647e-10,-5.4337e-10,-7.25171,1,0.375222,7.5345e-09,0,0,0,23.5034,1,0,1.99519,0.0848896,18.2926,-2.77067e-10,1.20558e-10,0,0,0,0
6.41599e-10,6.75794,0,3.42086e-09,-3.69053e-10,0,5.10363e-10,4.45422e-10,0,4,0.395981,1.5,4.45422e-10,-5.10363e-10,-6.75794,1,0.396132,6.03766e-09,0,0,0,21.9773,1,0,1.93702,0.0881375,18.4389,-2.84333e-10,1.30129e-10,0,0,0,0
7.3806e-10,6.2925,0,3.55047e-09,-4.20513e-10,0,4.90401e-10,4.18235e-10,0,4,0.417644,1.5,4.18235e-10,-4.90401e-10,-6.2925,1,0.417803,4.39486e-09,0,0,0,20.5553,1,0,1.87772,0.09135,18.5801,-2.92792e-10,1.39508e-10,0,0,0,0
8.38406e-10,5.85252,0,3.67225e-09,-4.89783e-10,0,4.83981e-10,3.86504e-10,0,4,0.440068,1.5,3.86504e-10,-4.83981e-10,-5.85252,1,0.440235,2.60536e-09,0,0,0,19.2291,1,0,1.81752,0.0945194,18.7161,-3.02895e-10,1.48556e-10,0,0,0,0
9.86387e-10,5.43546,0,3.77533e-09,-5.87616e-10,0,4.90586e-10,3.56489e-10,0,4,0.463249,1.5,3.56489e-10,-4.90586e-10,-5.43546,1,0.463422,6.72892e-10,0,0,0,17.9919,1,0,1.7567,0.0976385,18.8468,-3.15158e-10,1.57121e-10,0,0,0,0
1.1675e-09,5.03905,0,3.84885e-09,-7.27573e-10,0,5.08908e-10,3.35272e-10,0,4,0.487179,1.5,3.35272e-10,-5.08908e-10,-5.03905,1,0.487358,-1.39363e-09,0,0,0,16.8377,1,0,1.69555,0.1007,18.972,-3.30622e-10,1.65341e-10,0,0,0,0
1.43041e-09,4.66127,0,3.88311e-09,-9.31863e-10,0,5.36614e-10,3.22955e-10,0,4,0.511847,1.5,3.22955e-10,-5.36614e-10,-4.66127,1,0.512032,-3.57193e-09,0,0,0,15.7615,1,0,1.63443,0.103698,19.0916,-3.50576e-10,1.73409e-10,0,0,0,0
1.76098e-09,4.3003,0,3.87354e-09,-1.20949e-09,0,5.72889e-10,3.19988e-10,0,4,0.537239,1.5,3.19988e-10,-5.72889e-10,-4.3003,1,0.537429,-5.8514e-09,0,0,0,14.7593,1,0,1.57369,0.106624,19.2052,-3.77361e-10,1.81506e-10,0,0,0,0
2.16035e-09,3.95457,0,3.81716e-09,-1.50981e-09,0,6.14485e-10,3.21621e-10,0,4,0.563338,1.5,3.21621e-10,-6.14485e-10,-3.95457,1,0.56353,-8.17619e-09,0,0,0,13.8275,1,0,1.51373,0.109473,19.3129,-4.12963e-10,1.89886e-10,0,0,0,0
2.55776e-09,3.62265,0,3.70518e-09,-1.75087e-09,0,6.62624e-10,3.16643e-10,0,4,0.590121,1.5,3.16643e-10,-6.62624e-10,-3.62265,1,0.590315,-1.05033e-08,0,0,0,12.9636,0.999999,0,1.45498,0.112236,19.4142,-4.57301e-10,1.98514e-10,0,0,0,0
2.90534e-09,3.30329,0,3.52594e-09,-1.84846e-09,0,7.18124e-10,2.82646e-10,0,4,0.617562,1.5,2.82646e-10,-7.18124e-10,-3.30329,1,0.617756,-1.27699e-08,0,0,0,12.1653,0.999996,0,1.39787,0.114906,19.5092,-5.07965e-10,2.07052e-10,0,0,0,0
3.15961e-09,2.99539,0,3.267e-09,-1.76151e-09,0,7.87935e-10,2.1219e-10,0,4,0.645632,1.5,2.1219e-10,-7.87935e-10,-2.99539,1,0.645824,-1.48958e-08,0,0,0,11.4311,0.999989,0,1.34285,0.117474,19.5975,-5.59913e-10,2.14186e-10,0,0,0,0
