y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal	
4.75E-01	2.79E+02	5.65E-03	5.53E-03	0.00E+00	-2.42E-04	4.37E-04	-9.29E-10	7.87E-05	
4.86E-01	2.85E+02	5.46E-03	5.31E-03	0.00E+00	-2.62E-04	4.75E-04	7.78E-06	6.78E-05	
4.96E-01	2.92E+02	5.28E-03	5.09E-03	0.00E+00	-2.78E-04	5.05E-04	8.57E-06	4.63E-05	
5.07E-01	2.98E+02	5.12E-03	4.88E-03	0.00E+00	-2.94E-04	5.80E-04	6.66E-06	5.88E-05	
5.18E-01	3.04E+02	4.95E-03	4.67E-03	0.00E+00	-3.10E-04	6.42E-04	9.45E-06	6.30E-05	
5.29E-01	3.10E+02	4.79E-03	4.47E-03	0.00E+00	-3.20E-04	6.83E-04	8.48E-06	4.86E-05	
5.39E-01	3.17E+02	4.63E-03	4.27E-03	0.00E+00	-3.24E-04	7.43E-04	7.72E-06	6.95E-05	
5.50E-01	3.23E+02	4.49E-03	4.10E-03	0.00E+00	-3.16E-04	7.97E-04	1.05E-05	1.01E-04	
5.61E-01	3.30E+02	4.34E-03	3.92E-03	0.00E+00	-3.03E-04	8.24E-04	1.46E-05	1.17E-04	
5.72E-01	3.36E+02	4.19E-03	3.73E-03	0.00E+00	-2.84E-04	8.41E-04	1.85E-05	1.13E-04	
5.84E-01	3.43E+02	4.05E-03	3.54E-03	0.00E+00	-2.75E-04	8.42E-04	1.91E-05	7.42E-05	
5.95E-01	3.49E+02	3.92E-03	3.36E-03	0.00E+00	-2.71E-04	8.53E-04	1.66E-05	3.43E-05	
6.06E-01	3.56E+02	3.79E-03	3.18E-03	0.00E+00	-2.80E-04	8.98E-04	7.77E-06	9.96E-06	
6.17E-01	3.62E+02	3.67E-03	3.00E-03	0.00E+00	-3.00E-04	9.82E-04	3.07E-06	1.87E-05	
6.29E-01	3.69E+02	3.55E-03	2.84E-03	0.00E+00	-3.19E-04	1.03E-03	6.28E-06	6.55E-06	
6.40E-01	3.76E+02	3.44E-03	2.69E-03	0.00E+00	-3.12E-04	1.04E-03	1.09E-05	-2.07E-05	
6.52E-01	3.83E+02	3.34E-03	2.54E-03	0.00E+00	-3.06E-04	1.05E-03	1.70E-05	-3.60E-05	
6.63E-01	3.89E+02	3.23E-03	2.40E-03	0.00E+00	-2.91E-04	1.11E-03	1.40E-05	-7.42E-06	
6.75E-01	3.96E+02	3.13E-03	2.25E-03	0.00E+00	-3.05E-04	1.20E-03	1.53E-05	3.61E-05	
6.86E-01	4.03E+02	3.03E-03	2.12E-03	0.00E+00	-3.16E-04	1.30E-03	1.57E-05	8.65E-05	
6.98E-01	4.10E+02	2.93E-03	1.98E-03	0.00E+00	-3.39E-04	1.36E-03	1.36E-05	8.87E-05	
7.10E-01	4.17E+02	2.84E-03	1.85E-03	0.00E+00	-3.24E-04	1.38E-03	1.36E-05	8.33E-05	
7.21E-01	4.24E+02	2.75E-03	1.72E-03	0.00E+00	-3.24E-04	1.37E-03	1.64E-05	4.09E-05	
7.33E-01	4.31E+02	2.66E-03	1.61E-03	0.00E+00	-3.14E-04	1.37E-03	1.15E-05	1.01E-05	
7.45E-01	4.38E+02	2.57E-03	1.50E-03	0.00E+00	-3.12E-04	1.38E-03	7.43E-06	4.07E-06	
7.57E-01	4.45E+02	2.49E-03	1.40E-03	0.00E+00	-2.98E-04	1.39E-03	1.10E-05	1.02E-05	
7.69E-01	4.52E+02	2.41E-03	1.29E-03	0.00E+00	-2.95E-04	1.43E-03	1.46E-05	2.87E-05	
7.81E-01	4.59E+02	2.33E-03	1.18E-03	0.00E+00	-2.77E-04	1.46E-03	1.73E-05	4.61E-05	
7.93E-01	4.66E+02	2.26E-03	1.08E-03	0.00E+00	-2.62E-04	1.46E-03	1.81E-05	3.33E-05	
8.05E-01	4.73E+02	2.19E-03	9.68E-04	0.00E+00	-2.34E-04	1.45E-03	2.11E-05	1.27E-05	
8.17E-01	4.80E+02	2.12E-03	8.63E-04	0.00E+00	-2.17E-04	1.46E-03	1.91E-05	7.11E-07	
8.29E-01	4.87E+02	2.06E-03	7.62E-04	0.00E+00	-1.93E-04	1.50E-03	1.32E-05	2.03E-05	
8.41E-01	4.94E+02	2.01E-03	6.67E-04	0.00E+00	-1.73E-04	1.56E-03	1.35E-05	6.13E-05	
8.53E-01	5.01E+02	1.96E-03	5.78E-04	0.00E+00	-1.50E-04	1.59E-03	2.24E-05	8.15E-05	
8.65E-01	5.08E+02	1.91E-03	4.93E-04	0.00E+00	-1.47E-04	1.58E-03	3.22E-05	4.92E-05	
8.78E-01	5.15E+02	1.87E-03	4.13E-04	0.00E+00	-1.50E-04	1.56E-03	3.25E-05	-9.78E-06	
8.90E-01	5.22E+02	1.82E-03	3.39E-04	0.00E+00	-1.48E-04	1.57E-03	2.59E-05	-3.97E-05	
9.02E-01	5.30E+02	1.79E-03	2.71E-04	0.00E+00	-1.29E-04	1.60E-03	2.58E-05	-1.95E-05	
9.14E-01	5.37E+02	1.76E-03	2.09E-04	0.00E+00	-1.18E-04	1.64E-03	3.16E-05	2.62E-06	
9.26E-01	5.44E+02	1.74E-03	1.55E-04	0.00E+00	-1.12E-04	1.66E-03	3.56E-05	-9.02E-08	
9.39E-01	5.51E+02	1.72E-03	1.09E-04	0.00E+00	-1.20E-04	1.68E-03	4.00E-05	-3.53E-06	
9.51E-01	5.58E+02	1.70E-03	7.05E-05	0.00E+00	-1.26E-04	1.72E-03	3.92E-05	2.02E-06	
9.63E-01	5.66E+02	1.68E-03	4.03E-05	0.00E+00	-1.47E-04	1.76E-03	3.72E-05	7.83E-06	
9.75E-01	5.73E+02	1.67E-03	1.86E-05	0.00E+00	-1.62E-04	1.78E-03	3.83E-05	3.91E-06	
9.88E-01	5.80E+02	1.67E-03	5.71E-06	0.00E+00	-1.81E-04	1.80E-03	3.53E-05	-8.19E-06	
1.00E+00	5.87E+02	1.67E-03	1.53E-06	0.00E+00	-1.80E-04	1.81E-03	2.90E-05	-6.66E-06	
