y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal	
4.85900E-01	1.90590E+02	8.26130E-03	8.42830E-03	0.00000E+00	-4.02130E-04	6.57500E-04	6.49550E-05	4.86400E-04	
4.96460E-01	1.94730E+02	7.97700E-03	8.07090E-03	0.00000E+00	-3.70000E-04	5.85400E-04	7.03970E-05	3.80330E-04	
5.07100E-01	1.98910E+02	7.69030E-03	7.70060E-03	0.00000E+00	-3.59320E-04	5.38030E-04	4.04060E-05	2.29170E-04	
5.17820E-01	2.03110E+02	7.40100E-03	7.33040E-03	0.00000E+00	-3.42040E-04	6.18270E-04	-3.71890E-06	2.02010E-04	
5.28600E-01	2.07340E+02	7.12500E-03	6.96290E-03	0.00000E+00	-3.43210E-04	7.79510E-04	-1.65660E-05	2.57840E-04	
5.39460E-01	2.11600E+02	6.86420E-03	6.59150E-03	0.00000E+00	-3.47080E-04	8.59330E-04	7.60530E-06	2.46530E-04	
5.50390E-01	2.15890E+02	6.60950E-03	6.22900E-03	0.00000E+00	-3.79160E-04	9.01430E-04	1.09970E-05	1.53890E-04	
5.61380E-01	2.20200E+02	6.36940E-03	5.89450E-03	0.00000E+00	-4.06700E-04	8.99480E-04	1.63070E-05	3.29150E-05	
5.72440E-01	2.24540E+02	6.13920E-03	5.58880E-03	0.00000E+00	-4.32310E-04	9.07200E-04	3.79490E-07	-7.37850E-05	
5.83570E-01	2.28900E+02	5.92360E-03	5.30400E-03	0.00000E+00	-4.33020E-04	9.80390E-04	-9.27670E-06	-8.29680E-05	
5.94760E-01	2.33290E+02	5.72260E-03	5.04020E-03	0.00000E+00	-4.16100E-04	1.02550E-03	2.52770E-07	-7.10530E-05	
6.06010E-01	2.37700E+02	5.53230E-03	4.79460E-03	0.00000E+00	-3.67260E-04	1.02550E-03	8.23420E-06	-7.32300E-05	
6.17320E-01	2.42140E+02	5.34850E-03	4.55800E-03	0.00000E+00	-3.21800E-04	1.04180E-03	1.45940E-05	-5.38000E-05	
6.28680E-01	2.46600E+02	5.17110E-03	4.31920E-03	0.00000E+00	-2.90390E-04	1.09120E-03	3.67460E-05	-1.67330E-05	
6.40100E-01	2.51080E+02	5.00290E-03	4.07900E-03	0.00000E+00	-3.08080E-04	1.20560E-03	5.60150E-05	3.19620E-05	
6.51580E-01	2.55580E+02	4.83630E-03	3.83920E-03	0.00000E+00	-3.51230E-04	1.34840E-03	6.14340E-05	5.92090E-05	
6.63110E-01	2.60100E+02	4.67820E-03	3.60010E-03	0.00000E+00	-4.36360E-04	1.42950E-03	6.52320E-05	-1.75980E-05	
6.74690E-01	2.64640E+02	4.53190E-03	3.36790E-03	0.00000E+00	-4.97350E-04	1.43110E-03	6.46490E-05	-1.67560E-04	
6.86320E-01	2.69200E+02	4.39090E-03	3.14870E-03	0.00000E+00	-5.33750E-04	1.43240E-03	4.23100E-05	-2.99480E-04	
6.97990E-01	2.73780E+02	4.25220E-03	2.94630E-03	0.00000E+00	-5.14940E-04	1.50510E-03	7.66990E-06	-3.09900E-04	
7.09720E-01	2.78380E+02	4.12120E-03	2.75590E-03	0.00000E+00	-4.94910E-04	1.61450E-03	-1.45450E-05	-2.58500E-04	
7.21480E-01	2.83000E+02	3.99810E-03	2.57480E-03	0.00000E+00	-4.69020E-04	1.68620E-03	-6.17500E-06	-2.13960E-04	
7.33290E-01	2.87630E+02	3.87870E-03	2.39630E-03	0.00000E+00	-4.73250E-04	1.68040E-03	2.29620E-05	-2.50830E-04	
7.45130E-01	2.92270E+02	3.75860E-03	2.21660E-03	0.00000E+00	-4.58110E-04	1.69270E-03	4.16910E-05	-2.67030E-04	
7.57020E-01	2.96940E+02	3.64170E-03	2.03780E-03	0.00000E+00	-4.51090E-04	1.72510E-03	5.53920E-05	-2.73330E-04	
7.68940E-01	3.01610E+02	3.52770E-03	1.85800E-03	0.00000E+00	-4.36060E-04	1.77860E-03	6.36980E-05	-2.64670E-04	
7.80900E-01	3.06300E+02	3.41850E-03	1.67610E-03	0.00000E+00	-4.40000E-04	1.85660E-03	6.24950E-05	-2.62340E-04	
7.92890E-01	3.11010E+02	3.31940E-03	1.50120E-03	0.00000E+00	-4.32830E-04	1.97060E-03	5.69430E-05	-2.24290E-04	
8.04910E-01	3.15720E+02	3.23170E-03	1.33590E-03	0.00000E+00	-4.38710E-04	2.10170E-03	5.03670E-05	-1.81720E-04	
8.16960E-01	3.20450E+02	3.15170E-03	1.17740E-03	0.00000E+00	-4.35300E-04	2.23000E-03	5.32190E-05	-1.27080E-04	
8.29040E-01	3.25190E+02	3.07190E-03	1.02500E-03	0.00000E+00	-4.46310E-04	2.36130E-03	4.40080E-05	-8.74540E-05	
8.41140E-01	3.29930E+02	2.99640E-03	8.82810E-04	0.00000E+00	-4.43110E-04	2.50990E-03	3.06300E-05	-1.66830E-05	
8.53270E-01	3.34690E+02	2.93340E-03	7.52770E-04	0.00000E+00	-4.48510E-04	2.63790E-03	3.07650E-05	3.99370E-05	
8.65420E-01	3.39460E+02	2.87910E-03	6.35550E-04	0.00000E+00	-4.40480E-04	2.72090E-03	2.92950E-05	6.57650E-05	
8.77590E-01	3.44230E+02	2.83230E-03	5.30060E-04	0.00000E+00	-4.38780E-04	2.76710E-03	3.55170E-05	6.19570E-05	
8.89780E-01	3.49010E+02	2.78780E-03	4.35210E-04	0.00000E+00	-4.19880E-04	2.81720E-03	4.98810E-05	9.41850E-05	
9.01980E-01	3.53800E+02	2.74330E-03	3.49220E-04	0.00000E+00	-4.04730E-04	2.87380E-03	5.39370E-05	1.29290E-04	
9.14200E-01	3.58590E+02	2.70410E-03	2.71380E-04	0.00000E+00	-3.76820E-04	2.91760E-03	5.65640E-05	1.64120E-04	
9.26440E-01	3.63390E+02	2.67320E-03	2.01520E-04	0.00000E+00	-3.64740E-04	2.94370E-03	5.77770E-05	1.65520E-04	
9.38680E-01	3.68190E+02	2.65070E-03	1.40660E-04	0.00000E+00	-3.52410E-04	2.97180E-03	5.83860E-05	1.67110E-04	
9.50930E-01	3.73000E+02	2.63740E-03	8.95890E-05	0.00000E+00	-3.61500E-04	3.01220E-03	6.39740E-05	1.67620E-04	
9.63190E-01	3.77810E+02	2.62860E-03	4.89030E-05	0.00000E+00	-3.60930E-04	3.06620E-03	7.21730E-05	1.96880E-04	
9.75460E-01	3.82620E+02	2.62380E-03	1.91090E-05	0.00000E+00	-3.69670E-04	3.10170E-03	8.55780E-05	2.13760E-04	
9.87730E-01	3.87430E+02	2.61820E-03	6.91260E-07	0.00000E+00	-3.68310E-04	3.12270E-03	9.42930E-05	2.30210E-04	
1.00000E+00	3.92240E+02	2.61550E-03	-5.61310E-06	0.00000E+00	-3.75910E-04	3.13240E-03	9.69760E-05	2.33170E-04	
